"Code";"Content_Name";"Time";"Notation_of_Code";"Category";"Number";"Notation"
"MC01";"Master Class ! : Career Exploration - Saturday, Oct 7, 6:30 PM";"3600";"!";"Master Class";"1.0";"!"
"MC02";"Master Class @ : Planning your Applications – Higher Education, Saturday, Oct 14, 6:30 PM";"3600";"@";"Master Class";"4.0";"$"
"MC03";"Master Class # : Searching and Securing Internships - Saturday, Oct 21, 6:30 PM";"3600";"#";"Master Class";"9.0";"?"
"MC04";"Master Class $ : Acing your CV and Resume - Saturday, Oct 28, 6:30 PM";"3600";"$";"Master Class";"";""
"MC05";"Master Class % : Making the most of LinkedIn - Saturday, Nov 4, 6:30 PM";"3600";"%";"Master Class";"";""
"MC06";"Master Class ^ : Succeeding at Scholarships (For ex. Erasmus Mundus, Khorana Fellowship, MyTeacs Fellows | Saturday, Nov 25 2023 | 6:30 PM";"3600";"^";"Master Class";"";""
"MC07";"Master Class & : Statement of purpose (SOP) for Master's and PhD applications - Saturday, Mar 18, 18:30 PM";"3600";"&";"Master Class";"";""
"MC08";"Masterclass * : Understanding Professional Development and Exploring Futuristic STEM Careers - Dr. Anushila Chatterjee";"3600";"*";"Master Class";"";""
"MC09";"MasterClass ? : Time management - Mr. Shirish Kher";"3600";"?";"Master Class";"";""
"MC10";"Master Class !+ : How to Build a Career in Consultancy: Like McKinsey and Ernst & Young - Ms. Pooja Prusty & Ms. Kanchan Chanana";"3600";"!+";"Master Class";"";""
"MC11";"Master Class !! : Interview Skills - Mr. Pranav Mitra";"3600";"!!";"Master Class";"";""
"MC12";"Master Class !@ : STEM habits and Scientific Temperament ";"3600";"!@";"Master Class";"";""
"MC13";"Master Class !# : Cover letter for job application (focus on how to highlight STEM skills) ";"3600";"!#";"Master Class";"";""
"MC14";"Master Class !$ : Personal Branding/Elevator pitch ";"3600";"!$";"Master Class";"";""
"MC15";"Master Class !% : Cutting-edge AI tools to find credible research information";"3600";" !%";"Master Class";"";""
"MC16";"Master Class !^ : Job Interview Preparation";"3600";"!^";"Master Class";"";""
"MM01";"MM !";"3600";"!";"MM";"";""
"MM02";"MM @";"3600";"@";"MM";"";""
"MM03";"MM #";"3600";"#";"MM";"";""
"MM04";"MM $";"3600";"$";"MM";"";""
"MM05";"MM % ";"3600";"%";"MM";"";""
"MM06";"MM ^";"3600";"^";"MM";"";""
"SUK0";"SUK + : Kalpana Inauguration, at 6:30 PM. on Saturday, 30th Sept 2023";"3600";"+";"SUK";"0.0";"+"
"SUK1";"SUK ! : Speak Up Kalpana session, Saturday, Nov 18, 6:30 PM";"3600";"!";"SUK";"";""
"SUK10";"SUK !+";"3600";"!+";"SUK";"";""
"SUK11";"SUK !!";"3600";"!!";"SUK";"";""
"SUK12";"SUK !@";"3600";"!@";"SUK";"";""
"SUK13";"SUK !#";"3600";"!#";"SUK";"";""
"SUK14";"SUK !$";"3600";"!$";"SUK";"";""
"SUK2";"SUK @: Cohort Closing Keynote Session, Saturday, Dec 9, 6:30 PM";"3600";"@";"SUK";"";""
"SUK3";"SUK #: Cohort Closing Keynote Session, Saturday, Dec 9, 6:30 PM";"3600";"#";"SUK";"";""
"SUK4";"SUK $";"3600";"$";"SUK";"";""
"SUK5";"SUK %";"3600";"%";"SUK";"";""
"SUK6";"SUK ^";"3600";"^";"SUK";"";""
"SUK7";"SUK &";"3600";"&";"SUK";"";""
"SUK8";"SUK *";"3600";"*";"SUK";"";""
"SUK9";"SUK ?";"3600";"?";"SUK";"";""
"VID01";"Video ! : Why women in STEM. What has Kalpana program achieved until now.";"291";"!";"Video";"2.0";"@"
"VID02";"Video @ : What we expect from our Kalpana fellows";"287";"@";"Video";"3.0";"#"
"VID03";"Video # : Goal setting - Part 1";"153";"#";"Video";"5.0";"%"
"VID04";"Video $ : Goal setting - Part 2";"379";"$";"Video";"6.0";"^"
"VID05";"Video % : What is SMART goal ?";"296";"%";"Video";"7.0";"&"
"VID06";"Video ^ : What is the difference between a goal and a SMART goal ?";"291";"^";"Video";"8.0";"*"
"VID07";"Video & : What is SWOT & its importance";"141";"&";"Video";"";""
"VID08";"Video * : How to do SWOT analysis";"347";"*";"Video";"";""
"VID09";"Video ? : What are Strengths, Weakness, Opportunities, Threats";"453";"?";"Video";"";""
"VID10";"Video !+ : Deep dive into SWOT template with example";"441";"!+";"Video";"";""
"VID11";"Video !! : RIASEC personality - Who you are";"345";"!!";"Video";"";""
"VID12";"Video !@ : Why IDP and it's importance";"239";"!@";"Video";"";""
"VID13";"Video !# : Brief Introduction";"35";"!#";"Video";"";""
"VID14";"Video !$ : Setting aspirational goals";"359";"!$";"Video";"";""
"VID15";"Video !% : Avoiding 3 common dangers in goal setting";"640";"!%";"Video";"";""
"VID16";"Video !^ : Overview - CAP template";"284";"!^";"Video";"";""
"VID17";"Video !& : Goal A and Goal B";"56";"!&";"Video";"";""
"VID18";"Video !* : IDP - (SO & decrese threat strategies, hard & soft skills)";"404";"!*";"Video";"";""
"VID19";"VIdeo !? : IDP-(Career Exploration)";"279";"!?";"Video";"";""
"VID20";"Video @+ : IDP-(Milestones & Adjustments)";"492";"@+";"Video";"";""
"VID21";"Video @! : Research methodology";"561";"@!";"Video";"";""
"VID22";"Video @@ : Takes of Career Action Plan (CAP) - Self assessment, research, plan, action";"290";"@@";"Video";"";""
"VID23";"Video @# : Importance of Aspirational goal setting";"428";"@#";"Video";"";""
"VID24";"Video @$ : 3 Common Dangers of Goal Setting";"650";"@$";"Video";"";""
"VID25";"Video ## : Career Action Plan (CAP) template - An overview";"309";"##";"Video";"";""
"VID26";"Video @^ : Deep dive into CAP - 1";"463";"@&";"Video";"";""
"VID27";"Video @& : CAP Deep Dive 2";"560";"@*";"Video";"";""
"VID28";"Video @* : CAP Deep Dive 3";"496";"@*";"Video";"";""
"VID29";"Video @? : Communication - An introduction";"286";"@?";"Video";"";""
"VID30";"Video #+ : Skills required for effective communication";"265";"#+";"Video";"";""
"VID31";"Video #! : Types of communication";"321";"#!";"Video";"";""
"VID32";"Video #@ : Communication Techinique - Structuring the idea";"120";"#@";"Video";"";""
"VID33";"Video ## : Communication Techinique - The golden circle";"154";"##";"Video";"";""
"VID34";"Video #$ : Communication Techinique - ELI5";"115";"#$";"Video";"";""
"VID35";"Video #% : Communication Techinique - 3Ws";"154";"#%";"Video";"";""
"VID36";"Video #^ : Mistakes to avoid";"124";"#^";"Video";"";""
"VID37";"Video #& : Crux of communication";"203";"#&";"Video";"";""
"VID38";"Video #* : What is creativity & growth mindset?";"114";"#*";"Video";"";""
"VID39";"Video #? : Why is it important to have a creativity & growth mindset ?";"327";"#?";"Video";"";""
"VID40";"Video $+ : How to develop a creative growth mindset ?";"131";"$+";"Video";"";""
"VID41";"Video $! : What is critical thinking and why is it important ?";"259";"$!";"Video";"";""
"VID42";"Video $@ : The scientific temperament";"432";"$@";"Video";"";""
"VID43";"Video $# : Scientific temper & critical thinking";"261";"$#";"Video";"";""
"VID44";"Video $$ : The scientific method";"515";"$$";"Video";"";""
"VID45";"Video $% : What is collaboration and why is it important ?";"228";"$%";"Video";"";""
"VID46";"Video $^ : The six facets of the collaborative process";"214";"$^";"Video";"";""
"VID47";"Video $& : Importance of problem solving";"110";"$&";"Video";"";""
"VID48";"Video $* : Skills required for effective problem solving";"170";"$*";"Video";"";""
"VID49";"Video $? : What is Career Action Planner (CAP)?";"161";"$?";"Video";"";""
"VID50";"Video %+ : CAP -Setting aspirational goals";"288";"%+";"Video";"";""
"VID51";"Video %! : CAP - Common dangers of goal setting";"589";"%!";"Video";"";""
