"Cohort";"Notation";"Sessions"
"Incubator 6.0";"VID01";"WK0_V1"
"Incubator 6.0";"VID02";"WK0_V2"
"Incubator 6.0";"SUK0";"WK0_SUK_V"
"Incubator 6.0";"VID03";"WK1_V1"
"Incubator 6.0";"VID04";"WK1_V2"
"Incubator 6.0";"WS02";"WK1_WS1"
"Incubator 6.0";"MC03";"WK1_Master1"
"Incubator 6.0";"SUK1";"WK2_SUK_V"
"Incubator 6.0";"VID05";"WK3_V1"
"Incubator 6.0";"VID06";"WK3_V2"
"Incubator 6.0";"WS04";"WK3_WS2"
"Incubator 6.0";"MC04";"WK3_Master2"
"Incubator 6.0";"SUK2";"WK4_SUK_V"
"Incubator 6.0";"WS11";"WK4_WS3"
"Incubator 6.0";"VID49";"WK5_V1"
"Incubator 6.0";"VID50";"WK5_V2"
"Incubator 6.0";"VID51";"WK5_V3"
"Incubator 6.0";"WS13";"WK5_WS4"
"Incubator 6.0";"WS05";"WK5_WS5"
"Incubator 6.0";"MC01";"WK5_Master3"
"Incubator 6.0";"WS06";"WK6_WS6"
"Incubator 6.0";"SUK3";"WK6_SUK_V"
"Incubator 6.0";"VID52";"WK7_V1"
"Incubator 6.0";"WS07";"WK7_WS7"
"Incubator 6.0";"VID53";"WK9_V1"
"Incubator 6.0";"VID54";"WK9_V2"
"Incubator 6.0";"WS08";"WK9_WS8"
"Incubator 6.0";"MC05";"WK9_Master4"
"Incubator 6.0";"VID07";"WK10_V1"
"Incubator 6.0";"VID08";"WK10_V2"
"Incubator 6.0";"VID09";"WK10_V3"
"Incubator 6.0";"VID10";"WK10_V4"
"Incubator 6.0";"WS09";"WK10_WS9"
"Incubator 6.0";"MC16";"WK10_Master5"
"Incubator 6.0";"WS12";"WK11_WS10"
"Incubator 6.0";"SUK4";"WK11_SUK_V"
