"College_Name";"Incubator_Batch";"Number_of_Students";"Attendance_Points";"Quiz_Points";"Assignment_Points";"Total_Assignment";"Final_Score"
"Dev Bhoomi Uttarakhand University, Dehradun ";"Incubator 6.0";47.0;5.37;2.47;3.91;50.0;11.75
"Dr. A.P.J. Abdul Kalam Institute of Technology, Tanakpur";"Incubator 6.0";47.0;6.03;1.06;1.88;24.0;8.98
"G B Pant Institute of Engineering & Technology";"Incubator 6.0";65.0;1.1;0.52;0.39;7.0;2.01
"G.P.G.C.Berinag (Stemchampions)";"Incubator 6.0";5.0;49.95;16.95;30.0;40.0;96.89
"Institute of Technology, Gopeshwar";"Incubator 6.0";32.0;19.67;8.52;15.09;131.0;43.28
"JBIT, Dehradun";"Incubator 6.0";20.0;4.02;3.21;5.62;32.0;12.85
"LSM PG CAMPUS PITHORAGARH (Stemchampions)";"Incubator 6.0";7.0;45.29;16.32;29.57;56.0;91.17
"Nanhi Pari Seemant Institute of Technology, Pithoragarh";"Incubator 6.0";23.0;22.27;5.86;7.17;51.0;35.3
"SSJ Campus, Champawat (Stemchampions)";"Incubator 6.0";13.0;35.27;12.06;21.81;76.0;69.14
"THDC Institute of Hydropower Engineering and Technology, Tehri";"Incubator 6.0";51.0;1.09;0.4;0.53;8.0;2.02
"TSWRD Pharmacy College, Mahbubabad";"TS/TT 1.0";40.0;13.35;3.375;1.125;18.0;17.85
"TSWRDC & PGC, Budvel";"TS/TT 1.0";53.0;25.5472;12.3585;7.7044;154.0;45.6101
"TSWRDC Khammam";"TS/TT 1.0";61.0;31.9672;11.541;4.7541;145.0;48.2623
"TSWRDC Mahendrahills";"TS/TT 1.0";58.0;39.7586;15.7759;18.6782;346.0;74.2126
"TSWRDC Nirmal";"TS/TT 1.0";51.0;38.1569;13.6373;9.41177;193.0;61.2059
"TSWRDC Nizamabad";"TS/TT 1.0";50.0;40.7843;11.7941;12.4183;223.0;64.9967
"TSWRDC Siddipet";"TS/TT 1.0";45.0;20.8889;10.8889;3.59259;80.0;35.3704
"TSWRDCW Adilabad";"TS/TT 1.0";52.0;45.6923;17.1442;20.9295;358.0;83.766
"TSWRDCW Armoor";"TS/TT 1.0";58.0;33.931;10.7931;11.7241;242.0;56.4483
"TSWRDCW Bhupalpally";"TS/TT 1.0";52.0;44.2308;17.7981;6.79487;131.0;68.8237
"TSWRDCW Jagathgirigutta";"TS/TT 1.0";50.0;38.64;13.05;16.5667;307.0;68.2567
"TSWRDCW Jagtial";"TS/TT 1.0";49.0;34.6939;16.3776;10.8163;204.0;61.8878
"TSWRDCW Kamareddy";"TS/TT 1.0";53.0;34.7547;17.066;10.2516;199.0;62.0723
"TSWRDCW Karimnagar";"TS/TT 1.0";49.0;30.3265;13.1837;8.16327;165.0;51.6735
"TSWRDCW Kothagudem";"TS/TT 1.0";52.0;42.3846;13.0192;11.3782;264.0;66.7821
"TSWRDCW Mahbubnagar";"TS/TT 1.0";50.0;43.04;15.65;15.6333;272.0;74.3233
"TSWRDCW Mancherial";"TS/TT 1.0";32.0;42.1875;14.5469;24.6354;246.0;81.3698
"TSWRDCW Medak";"TS/TT 1.0";50.0;43.2;13.06;17.2333;304.0;73.4933
"TSWRDCW Nagarkurnool";"TS/TT 1.0";51.0;36.2745;15.2059;13.9542;257.0;65.4346
"TSWRDCW Nalgonda";"TS/TT 1.0";26.0;39.4615;14.3462;1.15385;17.0;54.9615
"TSWRDCW Sircilla";"TS/TT 1.0";62.0;36.0;10.7984;11.6129;256.0;58.4113
"TSWRDCW Suryapet";"TS/TT 1.0";45.0;26.4444;14.0333;6.62963;135.0;47.1074
"TSWRDCW Vikarabad";"TS/TT 1.0";39.0;28.0513;10.3846;4.82906;101.0;43.265
"TSWRDCW Wanaparthy";"TS/TT 1.0";35.0;44.6286;11.2;13.1429;155.0;68.9714
"TSWRDCW Warangal east";"TS/TT 1.0";52.0;47.7692;18.2212;24.1026;383.0;90.0929
"TSWRDCW Warangal West";"TS/TT 1.0";50.0;31.72;13.56;11.5333;243.0;56.8133
"TTWRDC Asifabad(Women)";"TS/TT 1.0";54.0;43.1481;15.2593;18.3642;336.0;76.7716
"TTWRDC Dammapeta(Women)";"TS/TT 1.0";12.0;35.6667;8.16667;13.6111;56.0;57.4444
"TTWRDC Devarakonda(Women)";"TS/TT 1.0";47.0;25.5745;4.30851;10.3546;217.0;40.2376
"TTWRDC Janagaon(Women)";"TS/TT 1.0";41.0;26.6829;11.1707;8.25203;133.0;46.1057
"TTWRDC Khammam(Women)";"TS/TT 1.0";32.0;40.875;10.75;13.9583;141.0;65.5833
"TTWRDC Kothagudem(Women)";"TS/TT 1.0";50.0;44.44;16.46;7.43333;145.0;68.3333
"TTWRDC Mahabubabad(Women)";"TS/TT 1.0";50.0;28.96;4.18;5.36667;98.0;38.5067
"TTWRDC Mahabubnagar(Women)";"TS/TT 1.0";42.0;33.2381;12.6548;1.15079;24.0;47.0437
"TTWRDC Medak(Women)";"TS/TT 1.0";50.0;43.92;19.97;7.16667;143.0;71.0567
"TTWRDC Mulugu(Women)";"TS/TT 1.0";30.0;26.1333;10.4167;4.5;48.0;41.05
"TTWRDC Nizamabad(Women)";"TS/TT 1.0";47.0;34.0426;18.0532;9.32624;221.0;61.422
"TTWRDC Shadnagar(Women)";"TS/TT 1.0";50.0;37.12;12.33;13.4222;236.0;62.8722
"TTWRDC Siricilla(Women)";"TS/TT 1.0";26.0;37.3846;12.6538;2.24359;27.0;52.2821
"TTWRDC Suryapeta(Women)";"TS/TT 1.0";53.0;34.9811;14.783;17.2013;313.0;66.9654
"TTWRDC Utnoor(Women)";"TS/TT 1.0";45.0;36.0889;13.9;14.3704;238.0;64.3593
"Tulas Institute, Dehradun";"Incubator 6.0";58.0;1.31;1.21;1.33;24.0;3.85
"UPES, Dehradun";"Incubator 6.0";10.0;1.98;1.53;3.0;8.0;6.5
"Uttaranchal University";"Incubator 6.0";36.0;0.83;0.06;0.25;3.0;1.13
"Women Institute of Technology, Dehradun";"Incubator 6.0";75.0;2.02;0.37;0.13;3.0;2.52
